date_time,timestamp,fm0229,fm0209
2026-03-04T12:00:00.000Z,1772625600,-115,-53
2026-03-04T12:00:01.000Z,1772625601,-108,-53
2026-03-04T12:00:02.000Z,1772625602,-115,-61
2026-03-04T12:00:03.000Z,1772625603,-115,-53
2026-03-04T12:00:04.000Z,1772625604,-115,-61
2026-03-04T12:00:05.000Z,1772625605,-108,-53
2026-03-04T12:00:06.000Z,1772625606,-115,-61
2026-03-04T12:00:07.000Z,1772625607,-115,-53
2026-03-04T12:00:08.000Z,1772625608,-122,-53
2026-03-04T12:00:09.000Z,1772625609,-115,-61
2026-03-04T12:00:10.000Z,1772625610,-115,-61
2026-03-04T12:00:11.000Z,1772625611,-115,-53
2026-03-04T12:00:12.000Z,1772625612,-122,-53
2026-03-04T12:00:13.000Z,1772625613,-122,-53
2026-03-04T12:00:14.000Z,1772625614,-122,-44
2026-03-04T12:00:15.000Z,1772625615,-115,-44
2026-03-04T12:00:16.000Z,1772625616,-122,-44
2026-03-04T12:00:17.000Z,1772625617,-122,-36
2026-03-04T12:00:18.000Z,1772625618,-122,-36
2026-03-04T12:00:19.000Z,1772625619,-122,-36
2026-03-04T12:00:20.000Z,1772625620,-129,-28
2026-03-04T12:00:21.000Z,1772625621,-122,-28
2026-03-04T12:00:22.000Z,1772625622,-122,-28
2026-03-04T12:00:23.000Z,1772625623,-122,-19
2026-03-04T12:00:24.000Z,1772625624,-122,-19
2026-03-04T12:00:25.000Z,1772625625,-122,-19
2026-03-04T12:00:26.000Z,1772625626,-122,-19
2026-03-04T12:00:27.000Z,1772625627,-122,-19
2026-03-04T12:00:28.000Z,1772625628,-122,-19
2026-03-04T12:00:29.000Z,1772625629,-122,-19
2026-03-04T12:00:30.000Z,1772625630,-122,-11
2026-03-04T12:00:31.000Z,1772625631,-122,-11
2026-03-04T12:00:32.000Z,1772625632,-129,-11
2026-03-04T12:00:33.000Z,1772625633,-122,-3
2026-03-04T12:00:34.000Z,1772625634,-122,-3
2026-03-04T12:00:35.000Z,1772625635,-129,-3
2026-03-04T12:00:36.000Z,1772625636,-129,-3
2026-03-04T12:00:37.000Z,1772625637,-129,-3
2026-03-04T12:00:38.000Z,1772625638,-129,-3
2026-03-04T12:00:39.000Z,1772625639,-129,-3
2026-03-04T12:00:40.000Z,1772625640,-129,-3
2026-03-04T12:00:41.000Z,1772625641,-129,-3
2026-03-04T12:00:42.000Z,1772625642,-129,-11
2026-03-04T12:00:43.000Z,1772625643,-129,-11
2026-03-04T12:00:44.000Z,1772625644,-129,-3
2026-03-04T12:00:45.000Z,1772625645,-129,-11
2026-03-04T12:00:46.000Z,1772625646,-122,-11
2026-03-04T12:00:47.000Z,1772625647,-129,-19
2026-03-04T12:00:48.000Z,1772625648,-129,-19
2026-03-04T12:00:49.000Z,1772625649,-129,-19
2026-03-04T12:00:50.000Z,1772625650,-129,-19
2026-03-04T12:00:51.000Z,1772625651,-122,-19
2026-03-04T12:00:52.000Z,1772625652,-122,-19
2026-03-04T12:00:53.000Z,1772625653,-122,-28
2026-03-04T12:00:54.000Z,1772625654,-122,-28
2026-03-04T12:00:55.000Z,1772625655,-129,-28
2026-03-04T12:00:56.000Z,1772625656,-122,-28
2026-03-04T12:00:57.000Z,1772625657,-122,-28
2026-03-04T12:00:58.000Z,1772625658,-122,-28
2026-03-04T12:00:59.000Z,1772625659,-122,-36
2026-03-04T12:01:00.000Z,1772625660,-122,-36
2026-03-04T12:01:01.000Z,1772625661,-115,-36
2026-03-04T12:01:02.000Z,1772625662,-122,-36
2026-03-04T12:01:03.000Z,1772625663,-122,-53
2026-03-04T12:01:04.000Z,1772625664,-115,-53
2026-03-04T12:01:05.000Z,1772625665,-115,-53
2026-03-04T12:01:06.000Z,1772625666,-115,-61
2026-03-04T12:01:07.000Z,1772625667,-115,-61
